t,n,m,psa,grade_group,stage
pTX,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pTX,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pTX,pN1,cM0,greater than or equal to 20,1,IVA
pTX,pN1,cM0,greater than or equal to 20,2,IVA
pTX,pN1,cM0,greater than or equal to 20,3,IVA
pTX,pN1,cM0,greater than or equal to 20,4,IVA
pTX,pN1,cM0,greater than or equal to 20,5,IVA
pT0,pN1,cM0,less than 10,1,IVA
pT0,pN1,cM0,less than 10,2,IVA
pT0,pN1,cM0,less than 10,3,IVA
pT0,pN1,cM0,less than 10,4,IVA
pT0,pN1,cM0,less than 10,5,IVA
pT0,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT0,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT0,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT0,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT0,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT0,pN1,cM0,greater than or equal to 20,1,IVA
pT0,pN1,cM0,greater than or equal to 20,2,IVA
pT0,pN1,cM0,greater than or equal to 20,3,IVA
pT0,pN1,cM0,greater than or equal to 20,4,IVA
pT0,pN1,cM0,greater than or equal to 20,5,IVA
pT2,pN1,cM0,less than 10,1,IVA
pT2,pN1,cM0,less than 10,2,IVA
pT2,pN1,cM0,less than 10,3,IVA
pT2,pN1,cM0,less than 10,4,IVA
pT2,pN1,cM0,less than 10,5,IVA
pT2,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT2,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT2,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT2,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT2,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT2,pN1,cM0,greater than or equal to 20,1,IVA
pT2,pN1,cM0,greater than or equal to 20,2,IVA
pT2,pN1,cM0,greater than or equal to 20,3,IVA
pT2,pN1,cM0,greater than or equal to 20,4,IVA
pT2,pN1,cM0,greater than or equal to 20,5,IVA
pT3,pN1,cM0,less than 10,1,IVA
pT3,pN1,cM0,less than 10,2,IVA
pT3,pN1,cM0,less than 10,3,IVA
pT3,pN1,cM0,less than 10,4,IVA
pT3,pN1,cM0,less than 10,5,IVA
pT3,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT3,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT3,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT3,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT3,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT3,pN1,cM0,greater than or equal to 20,1,IVA
pT3,pN1,cM0,greater than or equal to 20,2,IVA
pT3,pN1,cM0,greater than or equal to 20,3,IVA
pT3,pN1,cM0,greater than or equal to 20,4,IVA
pT3,pN1,cM0,greater than or equal to 20,5,IVA
pT3a,pN1,cM0,less than 10,1,IVA
pT3a,pN1,cM0,less than 10,2,IVA
pT3a,pN1,cM0,less than 10,3,IVA
pT3a,pN1,cM0,less than 10,4,IVA
pT3a,pN1,cM0,less than 10,5,IVA
pT3a,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT3a,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT3a,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT3a,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT3a,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT3a,pN1,cM0,greater than or equal to 20,1,IVA
pT3a,pN1,cM0,greater than or equal to 20,2,IVA
pT3a,pN1,cM0,greater than or equal to 20,3,IVA
pT3a,pN1,cM0,greater than or equal to 20,4,IVA
pT3a,pN1,cM0,greater than or equal to 20,5,IVA
pT3b,pN1,cM0,less than 10,1,IVA
pT3b,pN1,cM0,less than 10,2,IVA
pT3b,pN1,cM0,less than 10,3,IVA
pT3b,pN1,cM0,less than 10,4,IVA
pT3b,pN1,cM0,less than 10,5,IVA
pT3b,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT3b,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT3b,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT3b,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT3b,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT3b,pN1,cM0,greater than or equal to 20,1,IVA
pT3b,pN1,cM0,greater than or equal to 20,2,IVA
pT3b,pN1,cM0,greater than or equal to 20,3,IVA
pT3b,pN1,cM0,greater than or equal to 20,4,IVA
pT3b,pN1,cM0,greater than or equal to 20,5,IVA
pT4,pN1,cM0,less than 10,1,IVA
pT4,pN1,cM0,less than 10,2,IVA
pT4,pN1,cM0,less than 10,3,IVA
pT4,pN1,cM0,less than 10,4,IVA
pT4,pN1,cM0,less than 10,5,IVA
pT4,pN1,cM0,"greater than or equal to 10, but less than 20",1,IVA
pT4,pN1,cM0,"greater than or equal to 10, but less than 20",2,IVA
pT4,pN1,cM0,"greater than or equal to 10, but less than 20",3,IVA
pT4,pN1,cM0,"greater than or equal to 10, but less than 20",4,IVA
pT4,pN1,cM0,"greater than or equal to 10, but less than 20",5,IVA
pT4,pN1,cM0,greater than or equal to 20,1,IVA
pT4,pN1,cM0,greater than or equal to 20,2,IVA
pT4,pN1,cM0,greater than or equal to 20,3,IVA
pT4,pN1,cM0,greater than or equal to 20,4,IVA
pT4,pN1,cM0,greater than or equal to 20,5,IVA
pTX,pNX,cM1,less than 10,1,IVB
pTX,pNX,cM1,less than 10,2,IVB
pTX,pNX,cM1,less than 10,3,IVB
pTX,pNX,cM1,less than 10,4,IVB
pTX,pNX,cM1,less than 10,5,IVB
pTX,pNX,cM1,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,cM1,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,cM1,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,cM1,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,cM1,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,cM1,greater than or equal to 20,1,IVB
pTX,pNX,cM1,greater than or equal to 20,2,IVB
pTX,pNX,cM1,greater than or equal to 20,3,IVB
pTX,pNX,cM1,greater than or equal to 20,4,IVB
pTX,pNX,cM1,greater than or equal to 20,5,IVB
pTX,pNX,cM1a,less than 10,1,IVB
pTX,pNX,cM1a,less than 10,2,IVB
pTX,pNX,cM1a,less than 10,3,IVB
pTX,pNX,cM1a,less than 10,4,IVB
pTX,pNX,cM1a,less than 10,5,IVB
pTX,pNX,cM1a,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,cM1a,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,cM1a,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,cM1a,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,cM1a,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,cM1a,greater than or equal to 20,1,IVB
pTX,pNX,cM1a,greater than or equal to 20,2,IVB
pTX,pNX,cM1a,greater than or equal to 20,3,IVB
pTX,pNX,cM1a,greater than or equal to 20,4,IVB
pTX,pNX,cM1a,greater than or equal to 20,5,IVB
pTX,pNX,cM1b,less than 10,1,IVB
pTX,pNX,cM1b,less than 10,2,IVB
pTX,pNX,cM1b,less than 10,3,IVB
pTX,pNX,cM1b,less than 10,4,IVB
pTX,pNX,cM1b,less than 10,5,IVB
pTX,pNX,cM1b,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,cM1b,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,cM1b,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,cM1b,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,cM1b,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,cM1b,greater than or equal to 20,1,IVB
pTX,pNX,cM1b,greater than or equal to 20,2,IVB
pTX,pNX,cM1b,greater than or equal to 20,3,IVB
pTX,pNX,cM1b,greater than or equal to 20,4,IVB
pTX,pNX,cM1b,greater than or equal to 20,5,IVB
pTX,pNX,cM1c,less than 10,1,IVB
pTX,pNX,cM1c,less than 10,2,IVB
pTX,pNX,cM1c,less than 10,3,IVB
pTX,pNX,cM1c,less than 10,4,IVB
pTX,pNX,cM1c,less than 10,5,IVB
pTX,pNX,cM1c,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,cM1c,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,cM1c,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,cM1c,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,cM1c,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,cM1c,greater than or equal to 20,1,IVB
pTX,pNX,cM1c,greater than or equal to 20,2,IVB
pTX,pNX,cM1c,greater than or equal to 20,3,IVB
pTX,pNX,cM1c,greater than or equal to 20,4,IVB
pTX,pNX,cM1c,greater than or equal to 20,5,IVB
pTX,pNX,pM1,less than 10,1,IVB
pTX,pNX,pM1,less than 10,2,IVB
pTX,pNX,pM1,less than 10,3,IVB
pTX,pNX,pM1,less than 10,4,IVB
pTX,pNX,pM1,less than 10,5,IVB
pTX,pNX,pM1,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,pM1,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,pM1,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,pM1,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,pM1,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,pM1,greater than or equal to 20,1,IVB
pTX,pNX,pM1,greater than or equal to 20,2,IVB
pTX,pNX,pM1,greater than or equal to 20,3,IVB
pTX,pNX,pM1,greater than or equal to 20,4,IVB
pTX,pNX,pM1,greater than or equal to 20,5,IVB
pTX,pNX,pM1a,less than 10,1,IVB
pTX,pNX,pM1a,less than 10,2,IVB
pTX,pNX,pM1a,less than 10,3,IVB
pTX,pNX,pM1a,less than 10,4,IVB
pTX,pNX,pM1a,less than 10,5,IVB
pTX,pNX,pM1a,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,pM1a,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,pM1a,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,pM1a,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,pM1a,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,pM1a,greater than or equal to 20,1,IVB
pTX,pNX,pM1a,greater than or equal to 20,2,IVB
pTX,pNX,pM1a,greater than or equal to 20,3,IVB
pTX,pNX,pM1a,greater than or equal to 20,4,IVB
pTX,pNX,pM1a,greater than or equal to 20,5,IVB
pTX,pNX,pM1b,less than 10,1,IVB
pTX,pNX,pM1b,less than 10,2,IVB
pTX,pNX,pM1b,less than 10,3,IVB
pTX,pNX,pM1b,less than 10,4,IVB
pTX,pNX,pM1b,less than 10,5,IVB
pTX,pNX,pM1b,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,pM1b,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,pM1b,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,pM1b,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,pM1b,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,pM1b,greater than or equal to 20,1,IVB
pTX,pNX,pM1b,greater than or equal to 20,2,IVB
pTX,pNX,pM1b,greater than or equal to 20,3,IVB
pTX,pNX,pM1b,greater than or equal to 20,4,IVB
pTX,pNX,pM1b,greater than or equal to 20,5,IVB
pTX,pNX,pM1c,less than 10,1,IVB
pTX,pNX,pM1c,less than 10,2,IVB
pTX,pNX,pM1c,less than 10,3,IVB
pTX,pNX,pM1c,less than 10,4,IVB
pTX,pNX,pM1c,less than 10,5,IVB
pTX,pNX,pM1c,"greater than or equal to 10, but less than 20",1,IVB
pTX,pNX,pM1c,"greater than or equal to 10, but less than 20",2,IVB
pTX,pNX,pM1c,"greater than or equal to 10, but less than 20",3,IVB
pTX,pNX,pM1c,"greater than or equal to 10, but less than 20",4,IVB
pTX,pNX,pM1c,"greater than or equal to 10, but less than 20",5,IVB
pTX,pNX,pM1c,greater than or equal to 20,1,IVB
pTX,pNX,pM1c,greater than or equal to 20,2,IVB
pTX,pNX,pM1c,greater than or equal to 20,3,IVB
pTX,pNX,pM1c,greater than or equal to 20,4,IVB
pTX,pNX,pM1c,greater than or equal to 20,5,IVB
pTX,pN0,cM1,less than 10,1,IVB
pTX,pN0,cM1,less than 10,2,IVB
pTX,pN0,cM1,less than 10,3,IVB
pTX,pN0,cM1,less than 10,4,IVB
pTX,pN0,cM1,less than 10,5,IVB
pTX,pN0,cM1,"greater than or equal to 10, but less than 20",1,IVB
pTX,pN0,cM1,"greater than or equal to 10, but less than 20",2,IVB
pTX,pN0,cM1,"greater than or equal to 10, but less than 20",3,IVB
pTX,pN0,cM1,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN0,cM1,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN0,cM1,greater than or equal to 20,1,IVB
pTX,pN0,cM1,greater than or equal to 20,2,IVB
pTX,pN0,cM1,greater than or equal to 20,3,IVB
pTX,pN0,cM1,greater than or equal to 20,4,IVB
pTX,pN0,cM1,greater than or equal to 20,5,IVB
pTX,pN0,cM1a,less than 10,1,IVB
pTX,pN0,cM1a,less than 10,2,IVB
pTX,pN0,cM1a,less than 10,3,IVB
pTX,pN0,cM1a,less than 10,4,IVB
pTX,pN0,cM1a,less than 10,5,IVB
pTX,pN0,cM1a,"greater than or equal to 10, but less than 20",1,IVB
pTX,pN0,cM1a,"greater than or equal to 10, but less than 20",2,IVB
pTX,pN0,cM1a,"greater than or equal to 10, but less than 20",3,IVB
pTX,pN0,cM1a,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN0,cM1a,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN0,cM1a,greater than or equal to 20,1,IVB
pTX,pN0,cM1a,greater than or equal to 20,2,IVB
pTX,pN0,cM1a,greater than or equal to 20,3,IVB
pTX,pN0,cM1a,greater than or equal to 20,4,IVB
pTX,pN0,cM1a,greater than or equal to 20,5,IVB
pTX,pN0,cM1b,less than 10,1,IVB
pTX,pN0,cM1b,less than 10,2,IVB
pTX,pN0,cM1b,less than 10,3,IVB
pTX,pN0,cM1b,less than 10,4,IVB
pTX,pN0,cM1b,less than 10,5,IVB
pTX,pN0,cM1b,"greater than or equal to 10, but less than 20",1,IVB
pTX,pN0,cM1b,"greater than or equal to 10, but less than 20",2,IVB
pTX,pN0,cM1b,"greater than or equal to 10, but less than 20",3,IVB
pTX,pN0,cM1b,"greater than or equal to 10, but less than 20",4,IVB
pTX,pN0,cM1b,"greater than or equal to 10, but less than 20",5,IVB
pTX,pN0,cM1b,greater than or equal to 20,1,IVB
pTX,pN0,cM1b,greater than or equal to 20,2,IVB
pTX,pN0,cM1b,greater than or equal to 20,3,IVB
pTX,pN0,cM1b,greater than or equal to 20,4,IVB
